
mass#35              mass#36              cross
2.000000e+02         6.000000e+02         2.258600e-31
2.000000e+02         8.000000e+02         1.577900e-31
2.000000e+02         1.000000e+03         1.166300e-31
4.000000e+02         6.000000e+02         3.059400e-31
4.000000e+02         8.000000e+02         2.865800e-31
4.000000e+02         1.000000e+03         2.327300e-31
6.000000e+02         6.000000e+02         0.000000e+00
6.000000e+02         8.000000e+02         2.529800e-31
6.000000e+02         1.000000e+03         3.021900e-31
8.000000e+02         6.000000e+02         0.000000e+00
8.000000e+02         8.000000e+02         0.000000e+00
8.000000e+02         1.000000e+03         2.127400e-31
