 #run_name            mass#35              mass#36              cross                
run_01               2.000000e+02         6.000000e+02         2.258600e-31         
run_02               2.000000e+02         8.000000e+02         1.577900e-31         
run_03               2.000000e+02         1.000000e+03         1.166300e-31         
run_04               4.000000e+02         6.000000e+02         3.059400e-31         
run_05               4.000000e+02         8.000000e+02         2.865800e-31         
run_06               4.000000e+02         1.000000e+03         2.327300e-31         
run_07               6.000000e+02         6.000000e+02         0.000000e+00         
run_08               6.000000e+02         8.000000e+02         2.529800e-31         
run_09               6.000000e+02         1.000000e+03         3.021900e-31         
run_10               8.000000e+02         6.000000e+02         0.000000e+00         
run_11               8.000000e+02         8.000000e+02         0.000000e+00         
run_12               8.000000e+02         1.000000e+03         2.127400e-31         
