mass#35              mass#36              cross
2.000000e+02         6.000000e+02         3.920000e-33
2.000000e+02         8.000000e+02         2.538900e-33
2.000000e+02         1.000000e+03         1.908700e-33
4.000000e+02         6.000000e+02         2.350000e-33
4.000000e+02         8.000000e+02         1.400100e-33
4.000000e+02         1.000000e+03         8.429700e-34
6.000000e+02         6.000000e+02         0.000000e+00
6.000000e+02         8.000000e+02         9.294400e-34
6.000000e+02         1.000000e+03         7.454200e-34
8.000000e+02         6.000000e+02         0.000000e+00
8.000000e+02         8.000000e+02         0.000000e+00
8.000000e+02         1.000000e+03         4.527300e-34
