#run_name            mass#35              mass#36              cross                
run_01               2.000000e+02         6.000000e+02         3.920000e-33         
run_02               2.000000e+02         8.000000e+02         2.538900e-33         
run_03               2.000000e+02         1.000000e+03         1.908700e-33         
run_04               4.000000e+02         6.000000e+02         2.350000e-33         
run_05               4.000000e+02         8.000000e+02         1.400100e-33         
run_06               4.000000e+02         1.000000e+03         8.429700e-34         
run_07               6.000000e+02         6.000000e+02         0.000000e+00         
run_08               6.000000e+02         8.000000e+02         9.294400e-34         
run_09               6.000000e+02         1.000000e+03         7.454200e-34         
run_10               8.000000e+02         6.000000e+02         0.000000e+00         
run_11               8.000000e+02         8.000000e+02         0.000000e+00         
run_12               8.000000e+02         1.000000e+03         4.527300e-34         
